YelpCategory,SchemaType
Real Estate Services,['RealEstateAgent']
Recording & Rehearsal Studios,['MusicRecording']
Recycling Center,['RecyclingCenter']
Resorts,['Resort']
Restaurants,['Restaurant']
Rheumatologists,['Rheumatologic']
Roofing,['RoofingContractor']
Sailing,['BoatTrip']
Self Storage,['SelfStorage']
Shoe Stores,['ShoeStore']
Shopping,['Retail']
Shopping Centers,['ShoppingCenter']
Ski Resorts,['SkiResort']
Skiing,['SkiResort']
Skilled Nursing,['Nursing']
Skin Care,['Skin']
Social Clubs,['HealthClub']
Speech Therapists,['SpeechPathology']
Sports Clubs,['SportsClub']
Stadiums & Arenas,['StadiumOrArena']
Steakhouses,['Restaurant']
Summer Camps,['Campground']
Surgeons,['Surgical']
Swimming Pools,['PublicSwimmingPool']
Synagogues,['Synagogue']
Tattoo,['TattooParlor']
Taxis,['Taxi']
Tea Rooms,['Room']
Television Stations,['TelevisionStation']
Themed Cafes,['CafeOrCoffeeShop']
Thrift Stores,['ClothingStore']
Ticket Sales,['Ticket']
Tires,['TireShop']
Town Hall,['CityHall']
Toy Stores,['ToyStore']
Traditional Chinese Medicine,['TraditionalChinese']
Train Stations,['TrainStation']
Trains,['TrainTrip']
Travel Agents,['TravelAgency']
Travel Services,['TravelAgency']
Truck Rental,['AutoRental']
Ultrasound Imaging Centers,['Ultrasound']
Urologists,['Urologic']
Used Bookstore,['BookStore']
Used Car Dealers,['AutoDealer']
Vegan,['VeganDiet']
Vegetarian,['VegetarianDiet']
Venues & Event Spaces,['EventVenue']
Veterinarians,['VeterinaryCare']
Web Design,['WebContent']
Wholesale Stores,['WholesaleStore']
Wholesalers,['Wholesale']
Wine Tasting Room,['Winery']
Wine Tours,['Winery']
Wineries,['Winery']
Zoos,['Zoo']
